pred,type,scale,mode,label
ap,env,local,opt,
mat,env,local,opt,cm5
iso,env,local,opt,cm3
pseas,env,local,opt,cm4
rh,env,local,opt,
wetness,env,local,opt,cm1
rain_lowRH,env,local,opt,cm2
totalNS,pollution,local,opt,p1
radiation,env,local,opt,cm6
soilPC1,env,local,opt,sm1
soilPC2,env,local,opt,sm2
mat_reg_mean,env,regional,opt,CM5
iso_reg_mean,env,regional,opt,CM3
ap_reg_mean,env,regional,opt,
pseas_reg_mean,env,regional,opt,CM4
rh_reg_mean,env,regional,opt,
wetness_reg_mean,env,regional,opt,CM1
rain_lowRH_reg_mean,env,regional,opt,CM2
mat_reg_var,env,regional,het,CH5
iso_reg_var,env,regional,het,CH3
ap_reg_var,env,regional,het,
pseas_reg_var,env,regional,het,CH4
rh_reg_var,env,regional,het,
wetness_reg_var,env,regional,het,CH1
rain_lowRH_reg_var,env,regional,het,CH2
mat_reg_cv,env,regional,het,
iso_reg_cv,env,regional,het,
ap_reg_cv,env,regional,het,
pseas_reg_cv,env,regional,het,
rh_reg_cv,env,regional,het,
bark_SG.rao.ba,forest,local,het,
bark_moist_pct.rao.ba,forest,local,het,fh1
wood_SG.rao.ba,forest,local,het,fh2
wood_moist_pct.rao.ba,forest,local,het,
LogSeed.rao.ba,forest,local,het,fh3
lightDist.mean,forest,local,het,fh6
PIE.ba.tree,forest,local,het,fh4
S.tree,forest,local,het,
propDead,forest,local,het,fh5
diamDist.mean,forest,local,het,
diamDiversity,forest,local,het,fh7
bigTrees,forest,local,opt,fm4
bark_SG.ba,forest,local,opt,
bark_moist_pct.ba,forest,local,opt,fm1
wood_SG.ba,forest,local,opt,fm2
wood_moist_pct.ba,forest,local,opt,
LogSeed.ba,forest,local,opt,fm3
light.mean,forest,local,opt,fm5
totalCirc,forest,local,opt,
PC1,forest,local,opt,fm6
maxDiam,forest,local,opt,
regS,richness,regional,,R1
regS_tree,forest,regional,het,FH1
totalNS_reg,pollution,regional,opt,P1
lichen_rich,richness,local,,r1
tot_abun_log,abundance,local,opt,a1
lichen.rich_log,richness,local,,r1
fric,richness,local,,r1
